format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
weights,file,4194304,5,4,1,0,118,0.0
weights,file,4194304,5,4,16,0,118,0.0
weights,file,4194304,5,4,256,0,118,0.0
weights,file,4194304,5,4,4096,0,118,0.0
weights,file,4096,6,5,1,0,121534,0.0
weights,file,4096,6,5,16,0,121534,0.0
weights,file,4096,6,5,256,0,121534,0.0
weights,file,4096,6,5,4096,3,121534,2.5e-05
weights,file,65536,6,5,1,0,7595,0.0
weights,file,65536,6,5,16,0,7595,0.0
weights,file,65536,6,5,256,0,7595,0.0
weights,file,65536,6,5,4096,0,7595,0.0
weights,file,1048576,6,5,1,0,474,0.0
weights,file,1048576,6,5,16,0,474,0.0
weights,file,1048576,6,5,256,0,474,0.0
weights,file,1048576,6,5,4096,0,474,0.0
weights,file,4194304,6,5,1,0,118,0.0
weights,file,4194304,6,5,16,0,118,0.0
weights,file,4194304,6,5,256,0,118,0.0
weights,file,4194304,6,5,4096,0,118,0.0
weights,file,4096,7,6,1,0,121534,0.0
weights,file,4096,7,6,16,0,121534,0.0
weights,file,4096,7,6,256,0,121534,0.0
weights,file,4096,7,6,4096,3,121534,2.5e-05
weights,file,65536,7,6,1,0,7595,0.0
weights,file,65536,7,6,16,0,7595,0.0
weights,file,65536,7,6,256,0,7595,0.0
weights,file,65536,7,6,4096,0,7595,0.0
weights,file,1048576,7,6,1,0,474,0.0
weights,file,1048576,7,6,16,0,474,0.0
weights,file,1048576,7,6,256,0,474,0.0
weights,file,1048576,7,6,4096,0,474,0.0
weights,file,4194304,7,6,1,0,118,0.0
weights,file,4194304,7,6,16,0,118,0.0
weights,file,4194304,7,6,256,0,118,0.0
weights,file,4194304,7,6,4096,0,118,0.0
weights,file,4096,8,7,1,0,121534,0.0
weights,file,4096,8,7,16,0,121534,0.0
weights,file,4096,8,7,256,0,121534,0.0
weights,file,4096,8,7,4096,3,121534,2.5e-05
weights,file,65536,8,7,1,0,7595,0.0
weights,file,65536,8,7,16,0,7595,0.0
weights,file,65536,8,7,256,0,7595,0.0
weights,file,65536,8,7,4096,0,7595,0.0
weights,file,1048576,8,7,1,0,474,0.0
weights,file,1048576,8,7,16,0,474,0.0
weights,file,1048576,8,7,256,0,474,0.0
weights,file,1048576,8,7,4096,0,474,0.0
weights,file,4194304,8,7,1,0,118,0.0
weights,file,4194304,8,7,16,0,118,0.0
weights,file,4194304,8,7,256,0,118,0.0
weights,file,4194304,8,7,4096,0,118,0.0
weights,file,4096,9,8,1,0,121534,0.0
weights,file,4096,9,8,16,0,121534,0.0
weights,file,4096,9,8,256,0,121534,0.0
weights,file,4096,9,8,4096,3,121534,2.5e-05
weights,file,65536,9,8,1,0,7595,0.0
weights,file,65536,9,8,16,0,7595,0.0
weights,file,65536,9,8,256,0,7595,0.0
weights,file,65536,9,8,4096,0,7595,0.0
weights,file,1048576,9,8,1,0,474,0.0
weights,file,1048576,9,8,16,0,474,0.0
weights,file,1048576,9,8,256,0,474,0.0
weights,file,1048576,9,8,4096,0,474,0.0
weights,file,4194304,9,8,1,0,118,0.0
weights,file,4194304,9,8,16,0,118,0.0
weights,file,4194304,9,8,256,0,118,0.0
weights,file,4194304,9,8,4096,0,118,0.0
weights,file,4096,10,9,1,0,121534,0.0
weights,file,4096,10,9,16,0,121534,0.0
weights,file,4096,10,9,256,0,121534,0.0
weights,file,4096,10,9,4096,3,121534,2.5e-05
weights,file,65536,10,9,1,0,7595,0.0
weights,file,65536,10,9,16,0,7595,0.0
weights,file,65536,10,9,256,0,7595,0.0
weights,file,65536,10,9,4096,0,7595,0.0
weights,file,1048576,10,9,1,0,474,0.0
weights,file,1048576,10,9,16,0,474,0.0
weights,file,1048576,10,9,256,0,474,0.0
weights,file,1048576,10,9,4096,0,474,0.0
weights,file,4194304,10,9,1,0,118,0.0
